Decks imported:,20
Themes Used: ,
Basic Land,Avg Count
Swamp,2.9
Forest,3.45
Island,2.4
Card,Count
Forest,69
Swamp,58
Island,48
Command Tower,20
"Muldrotha, the Gravetide",20
Sol Ring,20
Breeding Pool,19
Overgrown Tomb,19
Watery Grave,19
Animate Dead,17
Eternal Witness,17
Polluted Delta,17
Pernicious Deed,15
Seal of Primordium,15
Birds of Paradise,13
Mystic Remora,13
Verdant Catacombs,13
Sakura-Tribe Elder,13
Life from the Loam,12
Misty Rainforest,12
Necromancy,12
Strip Mine,12
Spore Frog,12
The Gitrog Monster,12
Command Beacon,11
Lotus Petal,11
Phantasmal Image,11
"Sidisi, Undead Vizier",11
Hinterland Harbor,11
Demonic Tutor,10
Entomb,10
Flooded Strand,10
Sylvan Library,10
Cyclonic Rift,10
Drowned Catacomb,10
World Shaper,10
Deathrite Shaman,9
Exploration,9
Mana Crypt,9
Glen Elendra Archmage,9
Lightning Greaves,9
"Urborg, Tomb of Yawgmoth",9
Woodland Cemetery,9
Bojuka Bog,9
"Ashiok, Dream Render",8
Bayou,8
Bloodstained Mire,8
Wooded Foothills,8
Plaguecrafter,8
Zagoth Triome,8
Mulldrifter,8
Hermit Druid,8
Dakmor Salvage,8
Simic Signet,8
Cephalid Coliseum,7
Intuition,7
Lion's Eye Diamond,7
Mox Diamond,7
Phyrexian Tower,7
Rhystic Study,7
Seal of Removal,7
Tropical Island,7
Vampiric Tutor,7
Windswept Heath,7
Chromatic Lantern,7
Kaya's Ghostform,7
"Sheoldred, Whispering One",7
Baleful Strix,7
Crystal Vein,7
Golgari Grave-Troll,7
Fetid Pools,7
Ramunap Excavator,7
Golgari Signet,7
Counterspell,6
Crop Rotation,6
Expedition Map,6
Gaea's Cradle,6
Marsh Flats,6
"Razaketh, the Foulblooded",6
Scalding Tarn,6
Survival of the Fittest,6
Swan Song,6
Toxic Deluge,6
Underground Sea,6
Waterlogged Grove,6
Birthing Pod,6
Caustic Caterpillar,6
Gravebreaker Lamia,6
"Kokusho, the Evening Star",6
Shriekmaw,6
Wasteland,6
Mana Confluence,6
Opulent Palace,6
Villainous Wealth,6
Cabal Coffers,6
Dryad of the Ilysian Grove,6
Dimir Signet,6
Exotic Orchard,6
Assassin's Trophy,5
Gilded Drake,5
"Liliana, Death's Majesty",5
Mindslicer,5
Siren Stormtamer,5
Twilight Mire,5
Ancient Tomb,5
Elephant Grass,5
Fleshbag Marauder,5
Nihil Spellbomb,5
Phyrexian Metamorph,5
Secrets of the Dead,5
Stinkweed Imp,5
Sylvan Safekeeper,5
Arcane Signet,5
Buried Alive,5
Llanowar Wastes,5
Yavimaya Coast,5
Dance of the Dead,5
Commander's Sphere,5
"Kiora, the Crashing Wave",5
Sunken Hollow,5
Crucible of Worlds,5
Fabled Passage,5
Oracle of Mul Daya,5
"Azusa, Lost but Seeking",5
"Tamiyo, Collector of Tales",5
Aether Spellbomb,4
Arbor Elf,4
Carpet of Flowers,4
Force of Will,4
Fyndhorn Elves,4
Llanowar Elves,4
Mana Vault,4
Notion Thief,4
Nurturing Peatland,4
Spellseeker,4
Trinket Mage,4
Altar of Dementia,4
Bear Umbra,4
Clever Impersonator,4
Flooded Grove,4
High Market,4
Homeward Path,4
"Jace, Wielder of Mysteries",4
Mesmeric Orb,4
River Kelpie,4
Solemn Simulacrum,4
Tolaria West,4
Living Death,4
Merciless Executioner,4
Pact of Negation,4
Spellskite,4
City of Brass,4
Laboratory Maniac,4
Sensei's Divining Top,4
Golgari Thug,4
Mind Stone,4
Oblivion Stone,4
"Sidisi, Brood Tyrant",4
Sinister Concoction,4
Splendid Reclamation,4
"Tatyova, Benthic Druid",4
